Location ID,Date,Mean temperature (°C),Max. temperature (°C),Min. temperature (°C),Perceived mean temperature (°C),Perceived max. temperature (°C),Perceived min. temperature (°C),Max. wind speed (km/h),Max. wind gusts (km/h),Shortwave radiation sum (MJ/m2),Dominant wind direction (°),Reference evapotranspiration (mm),Daylight duration (s),Sunshine duration (s),Precipitation sum (mm),Snowfall sum (mm),Precipitation hours (h),Rain sum (mm)
0,2010-08-31,14.1,19.1,8.8,12.2,16.6,6.8,13.8,28.8,19.08,42,3.24,48584.01,44040.31,0.0,0.0,0.0,0.0
0,2010-09-01,15.5,20.9,9.4,13.5,18.9,7.5,18.1,36.7,21.17,60,3.79,48378.4,44017.36,0.0,0.0,0.0,0.0
0,2010-09-02,16.8,22.2,11.7,15.2,21.1,9.6,16.0,34.6,19.8,52,3.74,48173.07,41009.9,0.0,0.0,0.0,0.0
0,2010-09-03,17.0,22.9,11.4,16.2,22.6,10.2,12.5,25.9,20.43,47,3.66,47967.91,43597.89,0.0,0.0,0.0,0.0
0,2010-09-04,16.9,22.3,11.5,16.0,21.4,10.2,10.5,24.8,19.15,38,3.53,47761.48,39258.03,0.0,0.0,0.0,0.0
0,2010-09-05,17.6,23.2,11.4,16.5,22.6,10.2,16.2,27.0,18.88,85,3.81,47553.7,43069.89,0.1,0.0,1.0,0.1
0,2010-09-06,17.8,21.3,13.7,16.5,21.2,11.2,19.1,38.9,9.83,121,2.49,47344.7,16393.81,2.8,0.0,10.0,2.8
0,2010-09-07,17.2,20.2,14.0,17.0,19.4,14.0,11.6,22.7,10.08,193,1.97,47134.61,17275.21,3.0,0.0,6.0,3.0
0,2010-09-08,14.6,16.0,12.9,14.2,15.5,12.7,23.1,42.8,4.8,278,0.84,46923.58,3841.35,10.1,0.0,18.0,10.1
0,2010-09-09,15.5,20.4,11.0,14.6,18.6,9.7,12.3,28.8,13.33,268,2.43,46711.74,41482.19,0.0,0.0,0.0,0.0
0,2010-09-10,16.4,21.7,10.2,15.7,20.7,8.9,10.5,25.9,13.53,239,2.6,46499.2,29429.74,0.0,0.0,0.0,0.0
0,2010-09-11,18.4,23.9,12.5,18.2,23.7,11.5,10.9,25.6,15.44,188,2.94,46286.12,40240.31,0.0,0.0,0.0,0.0
0,2010-09-12,16.4,20.5,12.5,15.3,19.0,11.5,17.5,40.3,12.21,330,2.44,46072.62,30220.07,1.9,0.0,7.0,1.9
0,2010-09-13,15.3,20.4,9.3,14.3,18.6,8.0,10.7,26.6,14.54,278,2.63,45858.8,38895.05,0.0,0.0,0.0,0.0
0,2010-09-14,17.7,22.1,14.3,15.8,19.4,12.7,18.6,41.0,16.24,245,3.52,45644.81,38010.32,0.0,0.0,0.0,0.0
0,2010-09-15,16.3,18.5,14.6,14.3,15.3,12.2,19.9,39.6,8.46,270,2.37,45430.76,19527.71,9.4,0.0,9.0,9.4
0,2010-09-16,14.8,18.7,11.4,12.8,16.1,9.3,15.3,34.9,12.0,256,2.43,45216.78,38038.68,0.1,0.0,1.0,0.1
0,2010-09-17,13.5,18.1,9.1,11.6,15.3,7.2,14.7,29.9,15.88,324,2.75,45002.98,41003.42,0.0,0.0,0.0,0.0
0,2010-09-18,11.7,16.2,6.9,9.8,14.0,4.6,8.3,21.6,11.25,340,1.93,44789.49,36188.59,0.0,0.0,0.0,0.0
0,2010-09-19,12.5,18.8,6.7,10.8,16.9,4.7,8.5,22.3,17.18,242,2.7,44576.42,40621.89,0.0,0.0,0.0,0.0
0,2010-09-20,14.5,21.0,7.3,13.1,20.1,5.1,8.9,21.6,17.18,186,2.88,44363.9,40376.85,0.0,0.0,0.0,0.0
0,2010-09-21,15.1,22.2,8.0,13.8,21.1,6.1,9.4,24.8,17.08,73,2.98,44152.04,40037.1,0.0,0.0,0.0,0.0
0,2010-09-22,17.3,25.0,9.2,16.8,24.5,7.9,9.5,21.2,16.82,163,3.15,43940.95,39720.43,0.0,0.0,0.0,0.0
0,2010-09-23,18.5,24.5,13.8,17.7,23.9,12.9,16.7,46.1,11.52,210,2.75,43730.51,30393.24,2.3,0.0,4.0,2.3
0,2010-09-24,14.8,18.5,12.6,13.6,17.1,9.5,21.9,38.5,11.15,296,1.89,43519.25,27777.29,6.1,0.0,8.0,6.1
0,2010-09-25,12.2,14.4,10.1,8.6,10.2,7.2,23.5,43.9,10.39,342,2.27,43307.05,28992.16,0.5,0.0,4.0,0.5
0,2010-09-26,10.5,13.0,7.9,7.5,10.2,4.8,20.5,42.5,8.04,287,1.4,43094.03,27715.02,8.9,0.0,13.0,8.9
0,2010-09-27,11.0,14.3,8.2,9.6,12.6,6.3,11.1,20.2,6.88,330,1.14,42880.32,3178.62,0.3,0.0,2.0,0.3
0,2010-09-28,12.7,14.9,10.0,11.9,14.5,8.6,6.2,14.0,1.7,255,0.56,42666.07,0.0,0.3,0.0,2.0,0.3
